name,category,author,price,img_paths
Nutrition and Physical Degeneration,Medical,Weston Price,21.92,dataset/Medical/0000180.jpg
Sensorimotor Psychotherapy,Medical,Pat Ogden,39.22,dataset/Medical/0000181.jpg
Johanna's Christmas,Medical,Johanna Basford,13.28,dataset/Medical/0000182.jpg
Mindsight,Medical,Daniel Siegel,12.27,dataset/Medical/0000183.jpg
Put Your Heart in Your Mouth,Medical,Dr Natasha Campbell-McBride,10.97,dataset/Medical/0000184.jpg
The Eye Of The World,Medical,Robert Jordan,10.73,dataset/Medical/0000185.jpg
Ayurveda,Medical,Sahara Rose Ketabi,15.59,dataset/Medical/0000186.jpg
8 Keys to Safe Trauma Recovery,Medical,Babette Rothschild,16.42,dataset/Medical/0000187.jpg
The Sweet Poison Quit Plan,Medical,David Gillespie,9.02,dataset/Medical/0000188.jpg
Oxford Handbook of Anaesthesia,Medical,Keith G. Allman,54.7,dataset/Medical/0000189.jpg
The Shallows,Medical,Nicholas Carr,11.55,dataset/Medical/0000190.jpg
Body Positive Power,Medical,Megan Jayne Crabbe,12.91,dataset/Medical/0000191.jpg
Owning it: Your Bullsh*t-Free Guide to Living with Anxiety,Medical,Caroline Foran,11.18,dataset/Medical/0000192.jpg
Change Your Thinking with CBT,Medical,Dr. Sarah Edelman,18.37,dataset/Medical/0000193.jpg
Metaphysical Anatomy,Medical,Evette Rose,47.69,dataset/Medical/0000194.jpg
The Human Brain Coloring Book,Medical,Diamond Books,17.88,dataset/Medical/0000195.jpg
The Telomere Effect,Medical,Elizabeth Blackburn,8.75,dataset/Medical/0000196.jpg
West's Respiratory Physiology,Medical,John B. West,35.24,dataset/Medical/0000197.jpg
When Breath Becomes Air,Medical,Paul Kalanithi,17.41,dataset/Medical/0000198.jpg
The Autoimmune Solution,Medical,Amy Myers,10.11,dataset/Medical/0000199.jpg
The Body Keeps the Score,Medical,Bessel van der Kolk,23.39,dataset/Medical/0000200.jpg
Living with a Black Dog,Medical,Matthew Johnstone,7.99,dataset/Medical/0000201.jpg
Owning Your Own Shadow,Medical,Robert A. Johnson,10.43,dataset/Medical/0000202.jpg
Wreck This Journal (Paper Bag),Medical,Keri Smith,12.68,dataset/Medical/0000203.jpg
Dr Bernstein's Diabetes Solution,Medical,Dr. Richard K. Bernstein,21.41,dataset/Medical/0000204.jpg
Robbins & Cotran Pathologic Basis of Disease,Medical,Vinay Kumar,81.04,dataset/Medical/0000205.jpg
Accessing the Healing Power of the Vagus Nerve,Medical,Stanley Rosenberg,19.44,dataset/Medical/0000206.jpg
How to Starve Cancer,Medical,Jane McLelland,20.04,dataset/Medical/0000207.jpg
The Handbook of Child and Adolescent Clinical Psychology,Medical,Alan Carr,69.32,dataset/Medical/0000208.jpg
The Mindful Way Workbook,Medical,John D. Teasdale,20.3,dataset/Medical/0000209.jpg
Mindfulness for Health,Medical,Dr. Danny Penman,12.12,dataset/Medical/0000210.jpg
The Female Brain,Medical,Louann Brizendine,10.2,dataset/Medical/0000211.jpg
Health Through God's Pharmacy,Medical,Maria Treben,14.35,dataset/Medical/0000212.jpg
Confessions of a Sociopath,Medical,M. E. Thomas,8.31,dataset/Medical/0000213.jpg
Potter & Perry's Fundamentals of Nursing - Australian Version - 5th Edition. Print Book & E-Book,Medical,Douglas,91.74,dataset/Medical/0000214.jpg
Healing Back Pain (Reissue Edition),Medical,John E. Sarno,7.32,dataset/Medical/0000215.jpg
"Overcoming Binge Eating, Second Edition",Medical,Christopher G. Fairburn,14.41,dataset/Medical/0000216.jpg
Magical Jungle,Medical,Johanna Basford,14.12,dataset/Medical/0000217.jpg
Without Conscience,Medical,Robert D. Hare,14.78,dataset/Medical/0000218.jpg
"Women's Bodies, Women's Wisdom",Medical,Christiane Northrup,20.19,dataset/Medical/0000219.jpg
